Dato;Rute;Turnummer;Busnummer;Nummerplade;Vagt-nummer;Vagt-nummer (REALTID);Køretøjs rotations-nummer;Køretøjs rotations-nummer (REALTID);Køretøjs rotations-startsted;Enhed (IMEI-nr.);Enhed (realtids data-ID);Retning;Entrepenør;Klient (Softwareudbyder);Klient (Softwareprodukt);Klient (Softwareversion);Første stop (PLANLAGT);Første stop (REALTID);Sidste stop (PLANLAGT);Sidste stop (REALTID);Tur-realtid-type;Afgang (første stop) (PLANLAGT);Afgang (første stop) (REALTID);Afgang (første stop) - Forsinkelse;Ankomst (Sidste stop) (PLANLAGT);Ankomst (sidste stop) (REALTID);Ankomst (sidste stop) - Forsinkelse;Destination;Forsinkelse (Maksimum);Forsinkelse (Minimum);Distance (PLANLAGT) (km);Distance (REALTID) (km);km/t max.;Køretøjs-kategori (PLANLAGT);Køretøjs-kategori (REALTID);Operatør;Bemærkning;Telefonnummer;Sammenfaldende;Alle stop betjent;Realtids-data findes
3-9-2017;Bus 41;140;3586;ode-ke-3586;;;;;;355217060480762;25;2;0002;HaCon;Smart ITCS client;2.6.1;OBC Plads C afg. (Odense Kommune);OBC Plads C afg. (Odense Kommune);Bolbro (Odense Kommune);Bolbro (Odense Kommune);SCHEDULED;23:59;0:0;1;0:17;0:18;1;Bolbro;5;1;6,432;6,527;53;Bus;-;FYNBUS;;+4520452365;DEVICE;X;X;
3-9-2017;Bus 31;207;3508;ode-ke-3508;;;;;;355217060403426;25;1;0002;HaCon;Smart ITCS client;2.6.1;OBC Plads B afg. (Odense Kommune);OBC Plads B afg. (Odense Kommune);Snedronningen / Seden Syd (Odense Kommune);Snedronningen / Seden Syd (Odense Kommune);SCHEDULED;23:59;23:59;0;0:21;0:23;2;Seden Syd;3;0;8,486;8,336;63;Bus;-;FYNBUS;;+4520447705;DEVICE;;X;
3-9-2017;Bus 81;142;3565;ode-ke-3565;;;;;;355217060371680;25;2;0002;HaCon;Smart ITCS client;2.6.1;Fraugde (Odense Kommune);Fraugde (Odense Kommune);Bågøgade (Odense Kommune);Bågøgade (Odense Kommune);SCHEDULED;23:24;23:25;1;0:9;0:10;1;Skibhusene;5;-6;16,111;16,781;55;Bus;-;FYNBUS;;+4520439138;DEVICE;;X;
3-9-2017;Bus 932;29;8361;rsd-tb-8361;;;;;;355217061858230;26;1;0001;HaCon;Smart ITCS client;2.6.1;Nyborg Station (Nyborg Kommune);Nyborg Station (Nyborg Kommune);Svendborg Plads A ank. (Svendborg  Kommune);Svendborg Plads A ank. (Svendborg  Kommune);SCHEDULED;23:30;23:32;2;0:16;0:17;1;Svendborg;4;0;34,333;34,216;80;Bus;-;FYNBUS;;+4520474336;DEVICE;;X;
3-9-2017;Bus 191;146;8327;rsd-tb-8327;;;;;;355217060484525;26;2;0001;HaCon;Smart ITCS client;2.6.1;OBC Dannebrogsgade Pl. H (Odense Kommune);OBC Dannebrogsgade Pl. H (Odense Kommune);Bogense Rtb. (Nordfyn Kommune);Bogense Rtb. (Nordfyn Kommune);SCHEDULED;23:25;23:25;0;0:5;0:4;-1;Bogense;3;-1;29,669;29,598;81;Bus;;FYNBUS;;+4520454639;DEVICE;X;X;
3-9-2017;Bus 195;139;8314;rsd-tb-8314;;;;;;355217061857810;26;1;0001;HaCon;Smart ITCS client;2.6.1;OBC Dannebrogsgade Pl. H (Odense Kommune);OBC Dannebrogsgade Pl. H (Odense Kommune);Nyborg Station (Nyborg Kommune);Nyborg Station (Nyborg Kommune);SCHEDULED;23:25;23:26;1;0:16;0:16;0;Nyborg;2;-2;35,598;34,578;80;Bus;-;FYNBUS;;+4520472460;DEVICE;;X;
3-9-2017;Bus 111;56;8334;rsd-tb-8334;;;;;;355217061860186;26;2;0001;HaCon;Smart ITCS client;2.6.1;OBC Plads A afg. (Odense Kommune);OBC Plads A afg. (Odense Kommune);Faaborg Rtb. (Faaborg Midtfyn);Faaborg Rtb. (Faaborg Midtfyn);SCHEDULED;23:25;23:26;1;0:51;0:51;0;Faaborg;2;-2;50,501;47,521;97;Bus;-;FYNBUS;;+4520473222;DEVICE;;X;
3-9-2017;Bus 21;107;3502;ode-ke-3502;;;;;;355217060468494;25;1;0002;HaCon;Smart ITCS client;2.6.1;Ubberud Skole (Odense Kommune);Ubberud Skole (Odense Kommune);Tornbjerg (Odense Kommune);Tornbjerg (Odense Kommune);SCHEDULED;23:27;23:27;0;0:24;0:24;0;Tornbjerg;4;-4;22,718;22,793;61;Bus;-;FYNBUS;;+4520430224;DEVICE;;X;
3-9-2017;Bus 150;187;8321;rsd-tb-8321;;;;;;355217061718830;26;1;0001;HaCon;Smart ITCS client;2.6.1;OBC Plads D afg. (Odense Kommune);OBC Plads D afg. (Odense Kommune);Kerteminde Rtb. (Kerteminde Kommune);Kerteminde Rtb. (Kerteminde Kommune);SCHEDULED;23:25;23:26;1;0:10;0:10;0;Kerteminde;3;0;22,141;22,075;58;Bus;-;FYNBUS;;+4520472805;DEVICE;X;X;
3-9-2017;Bus 152;72;8382;rsd-tb-8382;;;;;;355217061784246;26;2;0001;HaCon;Smart ITCS client;2.6.1;OBC Plads A afg. (Odense Kommune);OBC Plads A afg. (Odense Kommune);Assens Rtb. (Assens Kommune);Assens Rtb. (Assens Kommune);SCHEDULED;23:25;23:25;0;0:41;0:40;-1;Assens;3;-1;47,742;47,369;83;Bus;-;FYNBUS;;+4520475148;DEVICE;X;X;
